gender,marriage,edu,job,mincome,aware,count,amount,decision,propensity,skin,promo,location,satisf_b,satisf_i,satisf_al,repurchase
1,2,4,4,6,31,1,300000,2,2,4,2,1,4,3,3,3
1,1,4,2,5,2,2,50000,3,2,3,2,3,2,3,4,4
2,2,2,7,4,2,1,15000,3,1,1,2,3,2,4,4,5
1,2,4,4,5,2,4,50000,3,2,1,2,2,3,4,4,4
2,2,2,7,1,1,4,100000,3,2,5,1,3,2,4,4,4
1,2,8,2,6,2,3,30000,1,1,1,2,2,3,5,5,5
1,2,6,2,6,1,5,150000,3,3,1,2,2,3,5,4,4
1,2,4,2,6,1,3,200000,3,2,4,2,1,3,4,3,3
2,2,4,7,6,1,3,500000,3,3,3,2,1,3,4,3,3
2,2,4,7,6,1,3,800000,3,3,3,2,1,3,3,3,4
1,2,4,4,4,2,2,30000,3,1,1,2,5,2,3,4,4
1,2,4,4,6,2,3,90000,3,3,1,4,1,4,3,3,4
1,1,4,2,6,2,1,100000,3,1,3,2,3,2,3,3,3
1,1,4,4,3,2,2,30000,3,2,1,4,2,4,4,4,4
2,1,4,4,3,1,20,30000,2,2,2,2,1,4,4,3,4
1,1,6,6,5,2,15,50000,1,3,2,1,2,2,4,4,4
2,1,7,3,3,1,5,200000,3,2,5,2,1,3,3,3,3
1,1,3,8,1,2,3,50000,3,2,5,2,2,3,4,3,4
1,2,4,2,5,2,2,250000,1,2,3,1,3,2,3,3,2
1,2,4,4,4,2,6,100000,1,2,3,1,2,4,4,4,3
2,1,6,3,3,1,6,60000,2,2,5,2,3,2,4,4,4
1,2,6,3,6,1,10,50000,3,2,3,2,3,2,4,4,4
1,1,4,10,3,2,1,50000,1,1,5,1,3,3,3,3,1
2,2,4,4,2,1,5,50000,1,2,1,3,3,2,3,3,3
1,2,7,4,3,2,1,20000,3,1,4,2,1,3,3,3,3
1,1,4,4,3,2,6,20000,3,1,1,1,3,2,4,4,5
2,1,7,8,1,1,5,30000,3,2,1,2,2,3,3,3,3
1,2,4,4,6,4,3,50000,2,2,3,1,1,3,3,3,4
1,2,4,4,6,4,3,100000,2,2,3,1,1,3,3,3,3
2,2,8,3,2,1,5,200000,3,3,2,3,1,3,5,5,5
1,2,4,6,4,2,3,200000,3,3,2,4,2,3,5,4,4
2,1,3,8,6,1,1,20000,3,2,3,2,3,2,3,3,4
1,1,3,8,1,2,3,30000,3,2,1,1,3,3,3,3,3
2,2,4,7,4,1,5,100000,3,2,5,2,3,2,4,4,4
1,2,4,2,4,1,6,100000,3,3,1,2,2,3,4,4,4
1,2,4,4,5,2,10,50000,3,2,3,2,2,4,4,4,4
1,1,4,4,4,2,2,20000,3,1,3,1,5,1,4,5,4
2,2,8,3,3,1,5,1500000,3,3,5,2,1,5,4,4,4
2,2,7,3,3,1,4,300000,3,3,1,2,1,4,4,4,4
1,2,8,4,5,1,3,100000,2,2,4,4,1,1,4,1,3
2,2,6,3,3,1,10,50000,3,2,1,2,2,3,4,4,4
2,2,4,7,6,1,2,500000,3,3,3,1,1,3,3,3,4
2,2,8,3,6,1,5,200000,3,2,3,2,1,3,4,3,3
2,1,4,4,3,2,2,12000,2,1,1,1,3,2,1,3,3
2,2,2,4,2,2,2,50000,3,3,1,1,3,4,4,4,4
2,2,8,3,5,2,2,20000,2,2,3,1,2,3,3,3,3
2,2,8,3,5,1,2,20000,2,2,3,1,2,3,3,3,3
2,2,4,4,2,2,5,50000,3,2,5,2,3,2,4,4,4
1,2,7,4,5,1,20,30000,2,2,3,2,3,2,3,4,4
1,2,7,4,6,1,10,30000,2,2,3,3,1,3,3,4,4
1,2,4,4,5,2,10,100000,1,3,1,2,2,3,3,3,4
2,1,3,1,1,2,6,12000,2,1,4,2,3,2,2,4,4
2,2,4,7,1,1,3,70000,2,3,1,3,1,4,3,3,4
2,2,2,4,3,2,10,20000,2,2,1,2,3,3,4,4,4
2,2,4,7,6,2,5,200000,3,3,1,4,1,4,4,3,4
1,2,5,2,6,1,1,300000,3,2,2,2,3,2,4,4,4
